"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_3pmWLcdSg479pGk","standard","1","1","LP","2.15079707022835","0.001","2.161","2.434","2.433","0.273","3","3",""
"2","R_3pmWLcdSg479pGk","standard","1","2","LP","0.264713485566566","3.436","3.715","4.068","0.632","0.353","3","6",""
"3","R_3pmWLcdSg479pGk","standard","1","3","LP","1.25738905644119","5.087","6.352","6.593","1.506","0.241","3","9",""
"4","R_3pmWLcdSg479pGk","standard","1","4","LP","30","7.6","37.609","37.885","30.285","0.276","3","12",""
"5","R_3pmWLcdSg479pGk","standard","1","5","LP","13.0392072382594","38.89","51.938","52.212","13.322","0.274","3","15",""
"6","R_3pmWLcdSg479pGk","standard","1","6","LP","3.49090909090909","53.219","56.714","57.019","3.8","0.305","3","18",""
"7","R_3pmWLcdSg479pGk","standard","1","7","LP","30","58.028","88.039","88.334","30.306","0.295","3","21",""
"8","R_3pmWLcdSg479pGk","standard","1","8","LP","19.8235243429556","89.337","109.169","109.411","20.074","0.242","3","24",""
"9","R_3pmWLcdSg479pGk","standard","1","9","LP","5.5010771219302","110.418","115.92","116.226","5.808","0.306","3","27",""
"10","R_3pmWLcdSg479pGk","standard","1","10","LP","8.51632916846187","117.238","125.767","126.105","8.867","0.338","3","30",""
"11","R_3pmWLcdSg479pGk","standard","1","11","LP","19.8235243429556","127.105","146.938","147.273","20.168","0.335","3","33",""
"12","R_3pmWLcdSg479pGk","standard","1","12","LP","0.661783713916415","148.296","148.965","149.448","1.152","0.483","3","36",""
"13","R_3pmWLcdSg479pGk","standard","1","13","LP","13.0392072382594","150.457","163.497","163.837","13.38","0.34","3","39",""
"14","R_3pmWLcdSg479pGk","standard","1","14","LP","0.661783713916415","164.841","165.505","165.889","1.048","0.384","3","42",""
"15","R_3pmWLcdSg479pGk","standard","1","15","LP","8.51632916846187","166.912","175.443","175.784","8.872","0.341","3","45",""
"16","R_3pmWLcdSg479pGk","standard","1","16","LP","8.51632916846187","176.793","185.326","185.727","8.934","0.401","3","48",""
"17","R_3pmWLcdSg479pGk","standard","1","17","LP","30","186.729","216.748","216.99","30.261","0.242","3","51",""
"18","R_3pmWLcdSg479pGk","standard","1","18","LP","2.15079707022835","217.993","220.144","220.496","2.503","0.352","3","54",""
"19","R_3pmWLcdSg479pGk","standard","1","19","LP","0.264713485566566","221.517","221.788","222.156","0.639","0.368","3","57",""
"20","R_3pmWLcdSg479pGk","standard","1","20","LP","0.264713485566566","223.161","223.444","223.801","0.64","0.357","3","60",""
"21","R_3pmWLcdSg479pGk","standard","1","21","LP","13.0392072382594","224.813","237.857","238.217","13.404","0.36","3","63",""
"22","R_3pmWLcdSg479pGk","standard","1","22","LP","2.15079707022835","239.228","241.399","241.704","2.476","0.305","3","66",""
"23","R_3pmWLcdSg479pGk","standard","1","23","LP","3.49090909090909","242.714","246.21","246.55","3.836","0.34","3","69",""
"24","R_3pmWLcdSg479pGk","standard","1","24","LP","0.264713485566566","247.556","247.825","248.196","0.64","0.371","3","72",""
"25","R_3pmWLcdSg479pGk","standard","1","25","LP","8.51632916846187","249.201","257.729","258.068","8.867","0.339","3","75",""
"26","R_3pmWLcdSg479pGk","standard","1","26","LP","0.661783713916415","259.088","259.753","260.102","1.014","0.349","3","78",""
"27","R_3pmWLcdSg479pGk","standard","1","27","LP","30","261.112","291.124","291.397","30.285","0.273","3","81",""
"28","R_3pmWLcdSg479pGk","standard","1","28","LP","13.0392072382594","292.402","305.449","305.762","13.36","0.313","3","84",""
"29","R_3pmWLcdSg479pGk","standard","1","29","LP","19.8235243429556","306.769","326.601","326.92","20.151","0.319","3","84","5555"
"30","R_3pmWLcdSg479pGk","standard","1","30","LP","2.15079707022835","327.923","330.081","330.569","2.646","0.488","3","87",""
"31","R_3pmWLcdSg479pGk","standard","1","31","LP","2.15079707022835","331.591","333.746","334.121","2.53","0.375","3","90",""
"32","R_3pmWLcdSg479pGk","standard","1","32","LP","0.661783713916415","335.129","335.808","NA","1.68","NA","0","90",""
"33","R_3pmWLcdSg479pGk","standard","1","33","LP","19.8235243429556","337.818","357.65","358.016","20.198","0.366","3","93",""
"34","R_3pmWLcdSg479pGk","standard","1","34","LP","2.15079707022835","359.025","361.186","361.522","2.497","0.336","3","96",""
"35","R_3pmWLcdSg479pGk","standard","1","35","LP","5.5010771219302","362.533","368.041","368.368","5.835","0.327","3","99",""
"36","R_3pmWLcdSg479pGk","standard","1","36","LP","2.15079707022835","369.377","371.534","371.998","2.621","0.464","3","102",""
"37","R_3pmWLcdSg479pGk","standard","1","37","LP","0.264713485566566","373.001","373.273","373.685","0.684","0.412","3","105",""
"38","R_3pmWLcdSg479pGk","standard","1","38","LP","0.264713485566566","374.689","374.962","375.38","0.691","0.418","3","108",""
"39","R_3pmWLcdSg479pGk","standard","1","39","LP","19.8235243429556","376.392","396.219","396.792","20.4","0.573","3","111",""
"40","R_3pmWLcdSg479pGk","standard","1","40","LP","5.5010771219302","397.792","403.297","403.601","5.809","0.304","3","114",""
"41","R_3pmWLcdSg479pGk","standard","1","41","LP","0.264713485566566","404.61","404.881","405.227","0.617","0.346","3","117",""
"42","R_3pmWLcdSg479pGk","standard","1","42","LP","13.0392072382594","406.235","419.282","419.605","13.37","0.323","3","120",""
"43","R_3pmWLcdSg479pGk","standard","1","43","LP","2.15079707022835","420.61","422.769","423.577","2.967","0.808","3","123",""
"44","R_3pmWLcdSg479pGk","standard","1","44","LP","0.264713485566566","424.585","424.852","425.241","0.656","0.389","3","126",""
"45","R_3pmWLcdSg479pGk","standard","1","45","LP","3.49090909090909","426.261","429.754","430.058","3.797","0.304","3","129",""
"46","R_3pmWLcdSg479pGk","standard","1","46","LP","0.264713485566566","431.065","431.336","431.744","0.679","0.408","3","132",""
"47","R_3pmWLcdSg479pGk","standard","1","47","LP","8.51632916846187","432.754","441.288","441.625","8.871","0.337","3","135",""
"48","R_3pmWLcdSg479pGk","standard","1","48","LP","0.264713485566566","442.634","442.917","443.349","0.715","0.432","3","138",""
"49","R_3pmWLcdSg479pGk","standard","1","49","LP","3.49090909090909","444.358","447.853","448.191","3.833","0.338","3","141",""
"50","R_3pmWLcdSg479pGk","standard","1","50","LP","8.51632916846187","449.193","457.718","458.039","8.846","0.321","3","144",""
"51","R_3pmWLcdSg479pGk","standard","1","51","LP","5.5010771219302","459.041","464.545","464.877","5.836","0.332","3","144","679"
"52","R_3pmWLcdSg479pGk","standard","1","52","LP","13.0392072382594","465.881","478.922","479.435","13.554","0.513","3","147",""
"53","R_3pmWLcdSg479pGk","standard","1","53","LP","3.49090909090909","480.438","483.937","484.28","3.842","0.343","3","150",""
"54","R_3pmWLcdSg479pGk","standard","1","54","LP","19.8235243429556","485.29","505.123","505.554","20.264","0.431","3","153",""
"55","R_3pmWLcdSg479pGk","standard","1","55","LP","0.661783713916415","506.562","507.229","507.598","1.036","0.369","3","156",""
"56","R_3pmWLcdSg479pGk","standard","1","56","LP","30","508.601","538.621","538.941","30.34","0.32","3","159",""
"57","R_3pmWLcdSg479pGk","standard","1","57","LP","8.51632916846187","539.947","548.473","548.854","8.907","0.381","3","162",""
"58","R_3pmWLcdSg479pGk","standard","1","58","LP","19.8235243429556","549.856","569.681","570.013","20.157","0.332","3","165",""
"59","R_3pmWLcdSg479pGk","standard","1","59","LP","0.264713485566566","571.023","571.289","571.631","0.608","0.342","3","168",""
"60","R_3pmWLcdSg479pGk","standard","1","60","LP","19.8235243429556","572.633","592.477","592.786","20.153","0.309","3","171",""
"61","R_3pmWLcdSg479pGk","standard","1","61","LP","3.49090909090909","593.793","597.288","597.635","3.842","0.347","3","174",""
"62","R_3pmWLcdSg479pGk","standard","1","62","LP","13.0392072382594","598.642","611.688","612.053","13.411","0.365","3","177",""
"63","R_3pmWLcdSg479pGk","standard","1","63","LP","5.5010771219302","613.057","618.561","619.049","5.992","0.488","3","180",""
"64","R_3pmWLcdSg479pGk","standard","1","64","LP","5.5010771219302","620.057","625.56","625.93","5.873","0.37","3","183",""
"65","R_3pmWLcdSg479pGk","standard","1","65","LP","30","626.937","656.945","657.263","30.326","0.318","3","186",""
"66","R_3pmWLcdSg479pGk","standard","1","66","LP","0.661783713916415","658.266","658.928","659.545","1.279","0.617","3","189",""
"67","R_3pmWLcdSg479pGk","standard","1","67","LP","5.5010771219302","660.556","666.065","666.4","5.844","0.335","3","192",""
"68","R_3pmWLcdSg479pGk","standard","1","68","LP","0.264713485566566","667.409","667.694","668.062","0.653","0.368","3","195",""
"69","R_3pmWLcdSg479pGk","standard","1","69","LP","13.0392072382594","669.065","682.105","682.436","13.371","0.331","3","198",""
"70","R_3pmWLcdSg479pGk","standard","1","70","LP","1.25738905644119","683.441","684.708","685.377","1.936","0.669","3","201",""
"71","R_3pmWLcdSg479pGk","standard","1","71","LP","8.51632916846187","686.385","694.905","695.256","8.871","0.351","3","204",""
"72","R_3pmWLcdSg479pGk","standard","1","72","LP","5.5010771219302","696.27","701.777","702.157","5.887","0.38","3","207",""
"73","R_3pmWLcdSg479pGk","standard","1","73","LP","0.264713485566566","703.162","703.43","703.776","0.614","0.346","3","210",""
"74","R_3pmWLcdSg479pGk","standard","1","74","LP","30","704.777","734.796","735.117","30.34","0.321","3","213",""
"75","R_3pmWLcdSg479pGk","standard","1","75","LP","0.661783713916415","736.122","736.785","737.207","1.085","0.422","3","216",""
"76","R_3pmWLcdSg479pGk","standard","1","76","LP","3.49090909090909","738.209","741.71","NA","4.516","NA","0","216",""
"77","R_3pmWLcdSg479pGk","standard","1","77","LP","1.25738905644119","743.732","745.005","745.362","1.63","0.357","3","219",""
"78","R_3pmWLcdSg479pGk","standard","1","78","LP","0.264713485566566","746.369","746.646","747.412","1.043","0.766","3","222",""
"79","R_3pmWLcdSg479pGk","standard","1","79","LP","3.49090909090909","748.421","751.925","752.214","3.793","0.289","3","225",""
"80","R_3pmWLcdSg479pGk","standard","1","80","LP","0.264713485566566","753.225","753.497","753.8","0.575","0.303","3","228",""
"81","R_3pmWLcdSg479pGk","standard","1","81","LP","13.0392072382594","754.801","767.852","768.144","13.343","0.292","3","231",""
"82","R_3pmWLcdSg479pGk","standard","1","82","LP","0.264713485566566","769.145","769.42","769.74","0.595","0.32","3","234",""
"83","R_3pmWLcdSg479pGk","standard","1","83","LP","0.661783713916415","770.747","771.413","771.687","0.94","0.274","3","237",""
"84","R_3pmWLcdSg479pGk","standard","1","84","LP","8.51632916846187","772.689","781.209","781.574","8.885","0.365","3","240",""
"85","R_3pmWLcdSg479pGk","standard","1","85","LP","2.15079707022835","782.584","784.749","785.085","2.501","0.336","3","243",""
"86","R_3pmWLcdSg479pGk","standard","1","86","LP","1.25738905644119","786.09","787.353","787.703","1.613","0.35","3","246",""
"87","R_3pmWLcdSg479pGk","standard","1","87","LP","3.49090909090909","788.706","792.201","792.515","3.809","0.314","3","249",""
"88","R_3pmWLcdSg479pGk","standard","1","88","LP","19.8235243429556","793.518","813.344","813.646","20.128","0.302","3","252",""
"89","R_3pmWLcdSg479pGk","standard","1","89","LP","0.264713485566566","814.651","814.926","814.994","0.343","0.068","3","255",""
"90","R_3pmWLcdSg479pGk","standard","1","90","LP","2.15079707022835","816.001","818.153","818.444","2.443","0.291","3","258",""
"91","R_3pmWLcdSg479pGk","standard","1","91","LP","1.25738905644119","819.449","820.72","821.079","1.63","0.359","3","261",""
"92","R_3pmWLcdSg479pGk","standard","1","92","LP","2.15079707022835","822.081","824.235","824.55","2.469","0.315","3","264",""
"93","R_3pmWLcdSg479pGk","standard","1","93","LP","5.5010771219302","825.553","831.057","831.369","5.816","0.312","3","267",""
"94","R_3pmWLcdSg479pGk","standard","1","94","LP","30","832.378","862.397","862.737","30.359","0.34","3","270",""
"95","R_3pmWLcdSg479pGk","standard","1","95","LP","2.15079707022835","863.745","865.897","866.201","2.456","0.304","3","273",""
"96","R_3pmWLcdSg479pGk","standard","1","96","LP","30","867.214","897.224","897.528","30.314","0.304","3","276",""
"97","R_3pmWLcdSg479pGk","standard","2","1","LP","19.8235243429556","0.001","19.838","20.159","20.158","0.321","3","279",NA
"98","R_3pmWLcdSg479pGk","standard","2","2","LP","30","21.166","51.175","51.509","30.343","0.334","3","282",NA
"99","R_3pmWLcdSg479pGk","standard","2","3","LP","30","52.517","82.526","82.802","30.285","0.276","3","285",NA
"100","R_3pmWLcdSg479pGk","standard","2","4","LP","2.15079707022835","83.806","85.958","86.442","2.636","0.484","3","288",NA
"101","R_3pmWLcdSg479pGk","standard","2","5","LP","1.25738905644119","87.451","88.717","89.101","1.65","0.384","3","291",NA
"102","R_3pmWLcdSg479pGk","standard","2","6","LP","5.5010771219302","90.112","95.623","95.975","5.863","0.352","3","294",NA
"103","R_3pmWLcdSg479pGk","standard","2","7","LP","1.25738905644119","96.994","98.264","98.632","1.638","0.368","3","297",NA
"104","R_3pmWLcdSg479pGk","standard","2","8","LP","8.51632916846187","99.639","NaN","107.107","7.468","NaN","0","297",NA
"105","R_3pmWLcdSg479pGk","standard","2","9","LP","8.51632916846187","108.117","NaN","115.73","7.613","NaN","0","297",NA
"106","R_3pmWLcdSg479pGk","standard","2","10","LP","0.661783713916415","116.735","117.398","117.784","1.049","0.386","3","300",NA
"107","R_3pmWLcdSg479pGk","standard","2","11","LP","19.8235243429556","118.809","NaN","126.737","7.928","NaN","0","300",NA
"108","R_3pmWLcdSg479pGk","standard","2","12","LP","5.5010771219302","127.746","133.269","133.622","5.876","0.353","3","303",NA
"109","R_3pmWLcdSg479pGk","standard","2","13","LP","3.49090909090909","134.634","138.127","138.462","3.828","0.335","3","306",NA
"110","R_3pmWLcdSg479pGk","standard","2","14","LP","5.5010771219302","139.47","144.974","145.322","5.852","0.348","3","309",NA
"111","R_3pmWLcdSg479pGk","standard","2","15","LP","8.51632916846187","146.326","154.843","154.868","8.542","0.025","3","312",NA
"112","R_3pmWLcdSg479pGk","standard","2","16","LP","8.51632916846187","155.87","164.389","164.703","8.833","0.314","3","315",NA
"113","R_3pmWLcdSg479pGk","standard","2","17","LP","0.661783713916415","165.714","166.383","166.891","1.177","0.508","3","318",NA
"114","R_3pmWLcdSg479pGk","standard","2","18","LP","5.5010771219302","167.894","173.399","173.699","5.805","0.3","3","321",NA
"115","R_3pmWLcdSg479pGk","standard","2","19","LP","5.5010771219302","174.702","180.218","180.588","5.886","0.37","3","324",NA
"116","R_3pmWLcdSg479pGk","standard","2","20","LP","0.264713485566566","181.59","181.864","182.278","0.688","0.414","3","327",NA
"117","R_3pmWLcdSg479pGk","standard","2","21","LP","19.8235243429556","183.299","NaN","193.062","9.763","NaN","0","327",NA
"118","R_3pmWLcdSg479pGk","standard","2","22","LP","2.15079707022835","194.084","196.245","196.593","2.509","0.348","3","330",NA
"119","R_3pmWLcdSg479pGk","standard","2","23","LP","5.5010771219302","197.598","203.115","203.423","5.825","0.308","3","333",NA
"120","R_3pmWLcdSg479pGk","standard","2","24","LP","1.25738905644119","204.444","205.713","206.129","1.685","0.416","3","336",NA
"121","R_3pmWLcdSg479pGk","standard","2","25","LP","1.25738905644119","207.134","208.398","208.71","1.576","0.312","3","339",NA
"122","R_3pmWLcdSg479pGk","standard","2","26","LP","5.5010771219302","209.723","215.229","215.579","5.856","0.35","3","342",NA
"123","R_3pmWLcdSg479pGk","standard","2","27","LP","0.661783713916415","216.581","217.246","217.665","1.084","0.419","3","345",NA
"124","R_3pmWLcdSg479pGk","standard","2","28","LP","30","218.67","NaN","228.595","9.925","NaN","0","345",NA
"125","R_3pmWLcdSg479pGk","standard","2","29","LP","0.264713485566566","229.605","229.878","230.295","0.69","0.417","3","348",NA
"126","R_3pmWLcdSg479pGk","standard","2","30","LP","0.661783713916415","231.308","231.989","232.388","1.08","0.399","3","351",NA
"127","R_3pmWLcdSg479pGk","standard","2","31","LP","8.51632916846187","233.399","241.923","242.197","8.798","0.274","3","354",NA
"128","R_3pmWLcdSg479pGk","standard","2","32","LP","19.8235243429556","243.198","NaN","253.317","10.119","NaN","0","354",NA
"129","R_3pmWLcdSg479pGk","standard","2","33","LP","2.15079707022835","254.324","256.491","256.828","2.504","0.337","3","357",NA
"130","R_3pmWLcdSg479pGk","standard","2","34","LP","0.264713485566566","257.831","258.11","258.894","1.063","0.784","3","360",NA
"131","R_3pmWLcdSg479pGk","standard","2","35","LP","13.0392072382594","259.902","NaN","269.854","9.952","NaN","0","360",NA
"132","R_3pmWLcdSg479pGk","standard","2","36","LP","1.25738905644119","270.862","272.131","272.518","1.656","0.387","3","363",NA
"133","R_3pmWLcdSg479pGk","standard","2","37","LP","30","273.522","NaN","283.667","10.145","NaN","0","363",NA
"134","R_3pmWLcdSg479pGk","standard","2","38","LP","0.264713485566566","284.676","284.944","285.358","0.682","0.414","3","366",NA
"135","R_3pmWLcdSg479pGk","standard","2","39","LP","3.49090909090909","286.369","289.865","290.201","3.832","0.336","3","369",NA
"136","R_3pmWLcdSg479pGk","standard","2","40","LP","2.15079707022835","291.207","293.366","293.717","2.51","0.351","3","372",NA
"137","R_3pmWLcdSg479pGk","standard","2","41","LP","19.8235243429556","294.725","NaN","304.924","10.199","NaN","0","372",NA
"138","R_3pmWLcdSg479pGk","standard","2","42","LP","3.49090909090909","305.926","309.433","309.802","3.876","0.369","3","375",NA
"139","R_3pmWLcdSg479pGk","standard","2","43","LP","3.49090909090909","310.806","314.302","314.747","3.941","0.445","3","378",NA
